address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"1160 San Ysidro Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.092945,-118.42039,18950000,9,6,9000,Single Family,17141600,67004,https://photos.zillowstatic.com/fp/a4253aec40e72a615240edd5100a91e5-p_e.jpg
"1469 Bel Air Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.09737,-118.4464,18900000,12,7,12573,Single Family,,83227,https://photos.zillowstatic.com/fp/6c0a0519f973189b66dafc0ce21b9506-p_e.jpg
"9438 La Jolla Farms Rd, La Jolla, CA 92037",La Jolla,CA,92037,32.876846,-117.24611,18450000,7,5,7509,Single Family,20397100,65035,https://photos.zillowstatic.com/fp/16fe687818e1eaedc52230f536494f00-p_e.jpg
"10651 Chalon Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.084232,-118.44724,18400000,8,9,9183,Single Family,,,https://photos.zillowstatic.com/fp/96638c43fbdead28460f1d254bb20b78-p_e.jpg
"6251 La Jolla Scenic Dr S, La Jolla, CA 92037",La Jolla,CA,92037,32.827564,-117.253334,18375000,9,6,9000,Single Family,19335300,62500,https://photos.zillowstatic.com/fp/6de840be04056eae83fb15d41a9e53c3-p_e.jpg
"614 N Beverly Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.075657,-118.40827,18250000,5,6,5269,Single Family,16905400,71463,https://photos.zillowstatic.com/fp/e979cf84b59b597a00be9721ad0b11ad-p_e.jpg
"626 Foothill Rd, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.080883,-118.40173,17750000,7,5,6962,Single Family,17650400,74174,https://photos.zillowstatic.com/fp/5a5b34e0bfa3b0760551737f6ade4749-p_e.jpg
"1714 Stone Canyon Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.104378,-118.459526,17680000,13,8,17415,Single Family,,73238,https://photos.zillowstatic.com/fp/5621245d4d395bb95524cf1866fd1c30-p_e.jpg
"618 N Arden Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.083275,-118.39499,17500000,10,8,8471,Single Family,15799400,70265,https://photos.zillowstatic.com/fp/53e4db3250c8a7195b0b32855dc911b2-p_e.jpg
5740 La Jolla Corona Dr,La Jolla,CA,92037,32.81686,-117.26554,17500000.0,8.0,5.0,8810.0,Single Family,17238000.0,54617.0,https://photos.zillowstatic.com/fp/680473e3e3be6bd3b7ebd3064db20160-p_e.jpg
"5410 Calumet Ave, La Jolla, CA 92037",La Jolla,CA,92037,32.810394,-117.26922,17400000,6,5,5534,Single Family,13359900,43537,https://photos.zillowstatic.com/fp/0934f150fcf959b999c1712e189b76d8-p_e.jpg
